,1em5,1.5em5,2em5,2.5em5,3em5,3.5em5,4em5,4.5em5,5em5
398,47,152,343,691,1036,1729,2650,3774,5175
399,43,150,314,655,1090,1752,2667,3827,5186
400,39,156,353,652,1188,1775,2805,3812,5237
401,32,144,323,645,1060,1834,2681,3686,5378
402,36,133,346,667,1150,1803,2610,3845,5327
403,34,153,335,642,1163,1772,2613,3823,5304
404,47,139,320,642,1114,1850,2775,3865,5333
405,41,143,345,666,1094,1813,2726,3849,5374
406,30,149,312,667,1092,1811,2697,3854,5212
407,44,136,352,647,1137,1768,2747,3923,5204
408,36,125,381,645,1160,1737,2710,3845,5271
409,44,162,343,647,1123,1791,2736,3766,5275
410,43,129,353,672,1145,1803,2653,3828,5267
411,46,136,334,639,1157,1837,2670,3688,5228
412,40,145,309,657,1155,1786,2621,3850,5217
413,46,137,326,660,1111,1846,2671,3870,5208
414,40,156,323,710,1188,1729,2678,3821,5248
415,32,136,321,720,1116,1829,2676,3897,5186
416,37,135,341,662,1098,1829,2645,3830,5251
417,45,149,359,658,1161,1779,2719,3760,5149
418,36,133,323,629,1179,1787,2811,3773,5256
419,39,154,354,647,1100,1861,2663,3845,5209
420,42,150,351,656,1118,1791,2777,3736,5363
421,42,139,348,630,1142,1845,2598,3796,5202
422,45,140,325,617,1152,1803,2626,3952,5335
423,46,134,342,655,1053,1865,2657,3788,5261
424,41,128,321,663,1148,1894,2765,3781,5292
425,45,120,325,662,1166,1750,2689,3809,5222
426,34,158,343,646,1132,1841,2726,3826,5212
427,41,119,321,655,1107,1825,2695,3759,5077
428,30,153,346,636,1140,1755,2778,3848,5224
429,44,139,350,658,1175,1795,2763,3815,5323
430,32,143,333,611,1134,1732,2734,3726,5347
431,41,124,319,644,1122,1820,2736,3800,5265
432,42,156,332,666,1134,1793,2667,3822,5198
433,47,128,343,686,1137,1744,2664,3823,5236
434,41,122,327,655,1108,1845,2709,3826,5263
435,37,143,347,641,1168,1841,2695,3864,5153
436,43,147,344,662,1198,1806,2684,3796,5186
437,38,144,342,639,1130,1786,2645,3800,5289
438,35,147,338,650,1138,1735,2719,3814,5182
439,45,120,353,624,1077,1768,2767,3816,5415
440,42,136,315,654,1120,1772,2607,3896,5175
441,50,134,367,650,1198,1835,2675,3911,5247
442,49,144,328,671,1082,1712,2765,3917,5298
443,36,150,333,685,1151,1820,2683,3751,5191
444,60,152,334,644,1181,1781,2614,3764,5310
445,46,135,324,661,1114,1795,2589,3634,5162
446,49,142,323,655,1118,1844,2692,3673,5222
447,46,130,333,609,1071,1770,2712,3721,5179
448,44,137,347,625,1112,1767,2637,3758,5243
449,32,145,348,626,1126,1781,2699,3815,5265
450,44,141,326,678,1183,1830,2737,3759,5252
451,41,138,355,599,1141,1779,2658,3861,5261
452,42,156,332,674,1136,1788,2728,3917,5294
453,43,168,324,655,1120,1776,2654,3782,5247
454,38,131,343,635,1154,1760,2667,3736,5203
455,36,130,355,683,1050,1854,2655,3907,5274
456,55,151,349,647,1114,1863,2681,3857,5276
457,37,125,339,614,1179,1819,2678,3691,5161
458,26,132,372,685,1126,1733,2727,3906,5253
459,51,128,358,654,1131,1850,2677,3723,5379
460,44,173,299,610,1146,1805,2589,3713,5271
461,41,127,341,610,1125,1810,2606,3869,5242
462,42,138,334,668,1159,1734,2644,3643,5196
463,38,151,362,623,1122,1823,2622,3875,5228
464,42,137,319,684,1097,1761,2669,3848,5386
465,37,143,334,633,1136,1727,2724,3774,5143
466,53,150,334,663,1090,1804,2753,3845,5082
467,37,168,328,635,1100,1808,2713,3840,5210
468,49,130,323,693,1136,1809,2659,3797,5227
469,36,139,316,645,1165,1903,2594,3816,5201
470,33,124,332,648,1136,1800,2718,3850,5201
471,44,124,305,633,1096,1780,2655,3852,5138
472,48,149,314,733,1161,1817,2663,3808,5269
473,36,138,308,684,1107,1843,2721,3743,5408
474,52,159,326,649,1167,1813,2572,3895,5373
475,37,163,330,626,1138,1782,2681,3764,5270
476,51,142,334,694,1130,1794,2636,3867,5249
477,36,133,339,649,1166,1747,2633,3874,5168
478,55,136,336,655,1144,1785,2635,3839,5324
479,32,150,346,635,1133,1762,2572,3723,5185
480,38,157,307,671,1132,1866,2701,3849,5317
481,44,128,365,659,1156,1751,2674,3748,5301
482,41,148,365,613,1132,1758,2641,3753,5231
483,52,139,354,688,1082,1760,2706,3956,5083
484,60,147,322,654,1171,1716,2660,3746,5170
485,53,136,341,624,1149,1765,2650,3862,5276
486,44,147,317,663,1132,1796,2707,3630,5400
487,53,141,333,675,1111,1772,2673,3892,5362
488,44,151,324,625,1150,1805,2668,3822,5445
489,54,142,354,657,1131,1751,2709,3712,5239
490,41,135,310,665,1135,1814,2722,3832,5193
491,46,145,344,621,1131,1724,2617,3719,5298
492,48,126,344,642,1077,1752,2727,3754,5368
493,37,130,325,656,1119,1791,2782,3877,5187
494,50,150,342,685,1148,1823,2664,3774,5116
495,40,152,349,646,1134,1829,2647,3851,5217
496,44,144,364,670,1123,1756,2658,3718,5243
497,41,132,363,648,1167,1802,2597,3843,5359
498,39,149,342,613,1060,1856,2635,3785,5201
499,39,151,320,684,1135,1832,2611,3893,5249
500,32,154,341,677,1122,1685,2684,3770,5199
501,38,139,319,633,1135,1825,2625,3780,5289
502,35,146,339,611,1147,1750,2689,3713,5153
503,35,161,336,635,1130,1771,2696,3745,5238
504,45,158,365,607,1200,1778,2613,3874,5237
505,38,155,314,630,1115,1874,2644,3745,5298
506,37,134,341,671,1106,1703,2632,3834,5123
507,29,163,320,622,1117,1837,2625,3872,5223
508,42,125,339,649,1165,1845,2671,3891,5280
509,41,161,315,659,1060,1777,2631,3803,5245
510,45,141,320,696,1160,1819,2709,3876,5272
511,31,127,325,633,1089,1839,2651,3778,5298
512,46,124,343,659,1121,1807,2627,3827,5147
513,46,127,324,653,1086,1756,2689,3705,5320
514,31,160,338,637,1126,1830,2630,3911,5122
515,36,150,328,638,1153,1796,2735,3824,5304
516,37,134,330,661,1138,1764,2660,3874,5266
517,37,137,315,622,1131,1786,2722,3818,5407
518,40,147,311,606,1086,1833,2671,3759,5226
519,47,140,314,640,1100,1788,2768,3925,5237
520,54,148,354,686,1097,1737,2585,3658,5229
521,42,144,375,627,1113,1851,2671,3775,5169
522,44,139,326,645,1119,1839,2653,3786,5318
523,41,162,363,671,1060,1753,2633,3782,5212
524,31,133,326,614,1150,1839,2696,3906,5324
525,34,116,331,677,1117,1739,2737,3769,5137
526,44,119,338,663,1128,1817,2663,3793,5256
527,41,139,339,634,1140,1824,2691,3906,5190
528,39,124,348,631,1145,1740,2692,3744,5257
529,47,134,323,690,1117,1794,2677,3895,5321
530,35,131,353,650,1102,1812,2626,3779,5421
531,42,135,339,630,1079,1796,2639,3916,5189
532,46,134,322,664,1166,1811,2698,3791,5231
533,44,143,356,638,1155,1799,2695,3822,5252
534,47,140,352,658,1152,1777,2700,3818,5220
535,26,140,335,626,1117,1864,2585,3858,5200
536,40,140,317,648,1104,1827,2700,3784,5174
537,49,145,360,682,1146,1744,2711,3777,5123
538,41,140,346,638,1113,1834,2655,3830,5354
539,34,144,335,655,1153,1898,2642,3876,5264
540,45,148,326,638,1096,1759,2677,3728,5218
541,31,151,346,653,1148,1815,2721,3792,5278
542,42,152,314,670,1136,1756,2697,3841,5262
543,41,152,325,664,1134,1728,2629,3880,5281
544,39,150,302,674,1141,1832,2671,3876,5279
545,57,144,349,651,1055,1827,2777,3732,5242
546,41,139,322,645,1156,1779,2647,3789,5141
547,45,152,352,681,1140,1889,2678,3873,5241
548,44,155,349,625,1134,1736,2581,3837,5244
549,40,161,310,565,1116,1755,2585,3749,5304
